"name	patientid	duedates	description	category	timezone	username	password	remindMeMinutes	recurrenceType	weekdays	monthlydeliveryday	startDate	endDate	alertTimes	expectedresult"
"Positive flow - When category is Appointment	3	2017-12-19T05:41:00Z	tester123	1	EST	justin.tubbs	tester123	30	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
"Positive flow - When category is Meds	3	2017-12-19T05:41:00Z	tester124	2	EST	justin.tubbs	tester123	30	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
"Positive flow - When category is Labs	3	2017-12-19T05:41:00Z	tester125	3	EST	justin.tubbs	tester123	30	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
"Positive flow - When category is Nutrition,	3	2017-12-19T05:41:00Z	tester126	4	EST	justin.tubbs	tester123	30	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
"Positive flow - When category is Self-Care	3	2017-12-19T05:41:00Z	tester127	6	EST	justin.tubbs	tester123	30	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
"Positive flow - When time zone is EST	3	2017-12-19T05:41:00Z	tester123	1	EST	justin.tubbs	tester123	30	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
"Positive flow - When time zone is CST	3	2017-12-19T05:41:00Z	tester123	1	CST	justin.tubbs	tester123	30	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
"Positive flow - When time zone is MST	3	2017-12-19T05:41:00Z	tester123	1	MST	justin.tubbs	tester123	30	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
"Positive flow - When time zone is PST	3	2017-12-19T05:41:00Z	tester123	1	PST	justin.tubbs	tester123	30	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
"Positive flow - When the  RemindMeMinutes is 30	3	2017-12-19T05:41:00Z	tester123	1	EST	justin.tubbs	tester123	30	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
"Positive flow - When the RemindMeMinutes is  60	3	2017-12-19T05:41:00Z	tester123	1	EST	justin.tubbs	tester123	60	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
"Positive flow - When the RemindMeMinutes is  120	3	2017-12-19T05:41:00Z	tester123	1	EST	justin.tubbs	tester123	120	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
"Positive flow - When the RemindMeMinutes is 1440	3	2017-12-19T05:41:00Z	tester123	1	EST	justin.tubbs	tester123	1440	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
"Positive flow - When RemindMeMinutes is  2280	3	2017-12-19T05:41:00Z	tester123	1	EST	justin.tubbs	tester123	12280	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
"Positive flow - When the RemindMeMinutes is  4320	3	2017-12-19T05:41:00Z	tester123	1	EST	justin.tubbs	tester123	4320	D	W	2	2017-2-2T00:00:00Z	2017-03-29T00:00:00Z	9:00	201"
